country,country_abbr,currency,name,gender,bill_count,profession,known_for_being_first,value,prop_total_bills,first_appearance_year,death_year,comments,hover_text,has_portrait,id
United States,USD,US dollar,George Washington,M,1,Founder,Yes,1,0.26,1869,1799,1st president of USA,First US President,TRUE,USD_Washington
United States,USD,US dollar,Andrew Jackson,M,1,Head of Gov't,No,20,0.23,1928,1845,,,FALSE,USD_Jackson
United States,USD,US dollar,Benjamin Franklin,M,1,Founder,Yes,100,0.33,1914,1790,"first United States Postmaster General, first United States Ambassador to France, etc...","First US Postmaster General, First United States Ambassador to France",TRUE,USD_Franklin
United States,USD,US dollar,Alexander Hamilton,M,1,Founder,Yes,10,0.05,1929,1804,1st secretary of the treasury,First US Secretary of the Treasury,TRUE,USD_Hamilton
Uruguay,UYU,Peso uruguayo,Juana de Ibarbourou,F,1,Writer,No,1000,0.23,1995,1979,,,FALSE,UYU_Ibarbourou
Uruguay,UYU,Peso uruguayo,Eduardo Fabini,M,1,Musician,No,100,0.15,1994,1950,,,FALSE,UYU_Eduardo
Uruguay,UYU,Peso uruguayo,Juan Zorrilla de San Martín,M,1,Writer,No,20,0.23,1994,1931,,,FALSE,UYU_Zorrilla
Uruguay,UYU,Peso uruguayo,Alfredo Vásquez Acevedo,M,1,Politician,No,500,0.07,1994,1923,,,FALSE,UYU_Vasquez
Uruguay,UYU,Peso uruguayo,Pedro Figari,M,1,Visual Artist,No,200,0.06,2015,1938,,,FALSE,UYU_Figari
Uruguay,UYU,Peso uruguayo,José Pedro Varela,M,1,Educator,Yes,50,0.15,1994,1879,First to promote and write about free and universal elementary schooling in Uruguay,First to promote and write about free and universal elementary schooling in Uruguay,FALSE,UYU_Varela
Uruguay,UYU,Peso uruguayo,Dámaso Antonio Larrañaga,M,1,STEM,Yes,2000,0.1,2003,1848,Founded Uruguay's first public library,Founded Uruguay's first public library,FALSE,UYU_Larranaga
Venezuela,VES​,Venezuelan bolivar,Simón Bolívar,M,1,Founder,Yes,500,NA,1940,1830,First president of Colombia and Bolivia,First President of Colombia and Bolivia,TRUE,BOB_Bolivar
Venezuela,VES​,Venezuelan bolivar,Antonio José de Sucre,M,1,Founder,Yes,50,NA,1945,1830,Frst constitutionally elected leader of Bolivia,First constitutionally elected leader of Bolivia,TRUE,BOB_Sucre
Venezuela,VES,Venezuelan bolivar,Josefa Camejo,F,1,Revolutionary,No,2,NA,2018,1870,,,FALSE,VES_Camejo
Venezuela,VES,Venezuelan bolivar,Francisco de Miranda,M,1,Military,No,200,NA,1968,1816,,,FALSE,VES_Miranda
Venezuela,VES,Venezuelan bolivar,Simón Rodrigues,M,1,Educator,No,20,NA,2007,1854,,,FALSE,VES_Rodrigues
Venezuela,VES,Venezuelan bolivar,Ezequiel Zamora,M,1,Military,No,100,NA,2018,1860,,,FALSE,VES_Ezequiel
Venezuela,VES,Venezuelan bolivar,Rafael Urdaneta,M,1,Head of Gov't,No,10,NA,2018,1845,,,FALSE,VES_Rajael
Venezuela,VES,Venezuelan bolivar,José Félix Ribas,M,1,Military,No,5,NA,2018,1815,,,FALSE,VES_Ribas
